"Country, Other",Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceeding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Population
Germany,364045,278769,0.31,4326,1500,1305,0.15,18,84157309
UK,295614,270617,0.09,4323,978,1035,-6.0,14,68382922
Russia,254923,272257,-6.0,1746,8742,8622,0.01,60,146021689
Netherlands,153772,110376,0.39,8947,263,173,0.52,15,17187715
Poland,147113,105461,0.39,3893,2067,1180,0.75,55,37788825
France,140027,78507,0.78,2139,382,248,0.54,6,65474821
Belgium,111086,73644,0.51,9527,266,203,0.31,23,11659912
Czechia,110176,79087,0.39,10262,655,492,0.33,61,10736672
Ukraine,108387,137260,-21.0,2499,4333,4595,-6.0,100,43367377
Austria,98028,82127,0.19,10798,307,253,0.21,34,9078002
Italy,69065,54095,0.28,1145,435,383,0.14,7,60337881
Hungary,66048,51581,0.28,6861,1007,815,0.24,105,9626152
Slovakia,51557,43258,0.19,9437,341,330,0.03,62,5463328
Greece,47367,45980,0.03,4576,594,509,0.17,57,10352063
Spain,42270,26122,0.62,904,121,161,-25.0,3,46780022
Switzerland,40144,26777,0.5,4592,70,43,0.63,8,8742800
Croatia,32303,36795,-12.0,7937,452,381,0.19,111,4069964
Ireland,30842,29535,0.04,6150,43,74,-42.0,9,5014600
Denmark,27110,23474,0.15,4658,39,39,0.0,7,5820629
Slovenia,21745,23120,-6.0,10458,145,103,0.41,70,2079336
Serbia,20438,25947,-21.0,2352,384,417,-8.0,44,8688299
Romania,18419,29842,-38.0,966,1466,2066,-29.0,77,19058731
Bulgaria,17244,19736,-13.0,2508,982,1121,-12.0,143,6875501
Portugal,16163,10848,0.49,1592,79,57,0.39,8,10155257
Norway,13983,12326,0.13,2552,51,28,0.82,9,5480297
Belarus,12347,13306,-7.0,1307,104,102,0.02,11,9444990
Lithuania,12299,15148,-19.0,4608,205,202,0.01,77,2669303
Sweden,8254,5875,0.4,810,13,32,-59.0,1,10187008
Finland,7305,5920,0.23,1316,30,24,0.25,5,5552717
Latvia,5919,8141,-27.0,3187,211,235,-10.0,114,1857112
Estonia,5131,6506,-21.0,3864,54,77,-30.0,41,1327779
Moldova,4646,6167,-25.0,1155,313,409,-23.0,78,4020892
Bosnia and Herzegovina,4556,5105,-11.0,1401,225,244,-8.0,69,3252362
Albania,3311,3731,-11.0,1152,49,34,0.44,17,2873416
North Macedonia,2894,3061,-5.0,1389,110,99,0.11,53,2083255
Montenegro,2434,3202,-24.0,3875,44,48,-8.0,70,628177
Luxembourg,1930,1387,0.39,3015,3,7,-57.0,5,640153
Channel Islands,1449,1107,0.31,8229,0,0,0.0,0,176095
Iceland,1034,1211,-15.0,3003,0,0,0.0,0,344329
Malta,523,353,0.48,1180,2,0,2.0,5,443182
Andorra,413,212,0.95,5333,0,0,0.0,0,77437
Liechtenstein,385,154,1.5,10057,0,0,0.0,0,38281
Gibraltar,367,432,-15.0,10898,0,0,0.0,0,33677
Isle of Man,366,308,0.19,4273,2,4,-50.0,23,85660
Faeroe Islands,227,286,-21.0,4621,2,4,-50.0,41,49122
San Marino,136,56,1.43,3996,1,0,1.0,29,34030
Monaco,114,47,1.43,2877,0,0,0.0,0,39630
